Estimation;EKF;;;;;
Acquisition;Simulation;;;;;
Representation;Euler Angles;;;;;
Time interval(s);12.0;Samp. Frequency(Hz);200;;;
Simulation Time(ms);552.819;Estimation time(ms);1257.446;Total Time(s);12.019;
Rotation Speed RPY(deg/s);0;0;30;Rotation Start/Stop(s);;
Initial RPY(deg);0;0;0;;;
Accelerometer Noise Power;0.038214;Accelerometer Noise Offset;0.0195;;;
Gyrometer Noise Power;0.01749;Gyrometer Noise Offset;0.0322;;;
Magnetometer Noise Power;1.204;;;;;
RMSE Roll(deg);1.96;RMSE Pitch(deg);2.07;RMSE Yaw(deg);2.82;Average RMSE(deg)
RMSE Roll(%);1.09;RMSE Pitch(%);1.15;RMSE Yaw(%);1.57;Average RMSE(%)
t(s);;;;r_est(d);p_est(d);y_est(d)
2.285;;;;1.36;-4.68;73.90
2.290;;;;-0.77;-2.85;70.36
2.295;;;;3.25;-2.80;70.59
2.300;;;;-1.59;-2.17;72.35
2.305;;;;-0.30;-0.60;70.21
2.310;;;;1.30;-0.55;70.88
2.315;;;;4.79;-1.79;74.60
2.320;;;;-0.70;-1.22;70.42
2.325;;;;0.99;-1.95;71.26
2.330;;;;-0.46;1.69;73.03
2.335;;;;-1.15;-2.66;75.78
2.340;;;;2.45;-3.00;77.61
2.345;;;;-0.20;-2.41;76.91
2.350;;;;2.42;-3.57;76.48
2.355;;;;0.09;-3.17;76.27
2.360;;;;0.59;-0.14;75.60
2.365;;;;-0.02;-5.27;77.46
2.370;;;;0.82;-2.64;74.22
2.375;;;;-0.93;-1.40;72.91
2.380;;;;-1.05;-0.15;69.77
2.385;;;;-1.19;-0.19;70.87
2.390;;;;1.04;-3.25;72.81
2.395;;;;2.89;-2.22;72.70
2.400;;;;3.66;-2.32;73.19
2.405;;;;-0.37;-2.20;74.10
2.410;;;;2.93;1.44;72.93
2.415;;;;1.87;-1.94;77.00
2.420;;;;2.71;-3.68;74.22
2.425;;;;2.46;-0.26;74.56
2.430;;;;-0.85;-0.37;71.46
2.435;;;;-0.10;0.45;73.17
2.440;;;;2.19;-0.50;73.50
2.445;;;;0.65;-0.83;75.09
2.450;;;;2.68;-1.33;75.02
2.455;;;;5.30;-4.04;79.06
2.460;;;;-0.17;-1.00;75.65
2.465;;;;3.23;-1.14;74.49
2.470;;;;0.18;0.86;73.36
2.475;;;;-0.97;0.69;75.57
2.480;;;;2.63;1.21;75.82
2.485;;;;0.43;-1.34;81.18
2.490;;;;-0.71;-0.25;77.17
2.495;;;;1.97;-2.01;78.21
2.500;;;;1.05;1.36;74.81
2.505;;;;0.43;-3.76;77.48
2.510;;;;2.49;-5.00;82.76
2.515;;;;-0.19;-2.68;79.25
2.520;;;;3.66;-3.43;80.83
2.525;;;;1.24;0.97;77.49
2.530;;;;1.33;2.27;77.91
2.535;;;;-1.62;-2.49;80.21
2.540;;;;2.33;0.16;77.39
2.545;;;;1.41;-5.28;83.12
2.550;;;;-2.02;-1.24;81.84
2.555;;;;1.64;-2.24;82.39
2.560;;;;5.53;1.76;79.67
2.565;;;;0.48;-2.12;83.00
2.570;;;;0.04;-2.46;82.88
2.575;;;;0.91;-2.25;82.28
2.580;;;;1.94;-2.02;80.95
2.585;;;;-0.30;-2.16;82.35
2.590;;;;1.07;-0.06;82.06
2.595;;;;-0.07;2.66;79.01
2.600;;;;0.89;1.31;76.32
