Line;Roll_Arduino;Pitch_Arduino;Yaw_Arduino;Roll_CSV;Pitch_CSV;Yaw_CSV;RMSE_Roll;RMSE_Pitch;RMSE_Yaw
1362;2.44;-1.88;-157.89;2.36;-0.77;-159.52;0.08000000000000007;1.1099999999999999;1.6300000000000239
1363;2.37;1.32;-155.49;2.46;1.13;-158.19;0.08999999999999986;0.19000000000000017;2.6999999999999886
1364;1.6;-0.1;-155.69;1.71;0.08;-157.7;0.10999999999999988;0.18;2.009999999999991
1365;1.87;-1.74;-151.37;1.93;-1.8;-155.4;0.05999999999999983;0.06000000000000005;4.030000000000001
1366;2.57;1.55;-154.45;2.19;0.73;-156.26;0.3799999999999999;0.8200000000000001;1.8100000000000023
1367;2.47;-2.5;-151.33;2.62;-1.95;-155.41;0.1499999999999999;0.55;4.079999999999984
1368;-0.49;1.28;-155.68;-0.18;1.35;-154.93;0.31;0.07000000000000006;0.75
1369;1.28;-2.19;-156.16;1.02;-2.1;-157.17;0.26;0.08999999999999986;1.009999999999991
1370;0.64;-4.32;-150.99;1.21;-3.12;-154.53;0.57;1.2000000000000002;3.539999999999992
1371;0.86;-2.1;-156.25;0.85;-1.68;-156.95;0.010000000000000009;0.42000000000000015;0.6999999999999886
1372;5.23;0.7;-153.3;4.52;-0.29;-158.27;0.7100000000000009;0.99;4.969999999999999
1373;-3.14;0.33;-156.46;-2.27;0.86;-154.83;0.8700000000000001;0.53;1.6299999999999955
1374;-1.0;0.35;-153.25;-1.05;0.11;-152.78;0.050000000000000044;0.24;0.46999999999999886
1375;1.96;-1.97;-156.76;1.54;-1.63;-157.33;0.41999999999999993;0.3400000000000001;0.5700000000000216
1376;-2.59;-1.6;-155.48;-1.63;-0.17;-154.46;0.96;1.4300000000000002;1.0199999999999818
1377;-0.75;-0.64;-151.63;-0.82;-1.03;-152.15;0.06999999999999995;0.39;0.5200000000000102
1378;3.18;-2.35;-149.64;2.98;-1.95;-153.47;0.20000000000000018;0.40000000000000013;3.8300000000000125
1379;1.36;-2.77;-151.63;1.66;-2.11;-154.1;0.2999999999999998;0.6600000000000001;2.469999999999999
1380;0.51;-3.95;-156.01;0.89;-2.57;-156.96;0.38;1.3800000000000003;0.950000000000017
1381;1.35;-1.19;-155.43;1.3;-1.23;-157.28;0.050000000000000044;0.040000000000000036;1.8499999999999943
1382;1.28;2.83;-153.24;1.34;2.04;-154.72;0.06000000000000005;0.79;1.4799999999999898
1383;0.29;-0.45;-153.5;0.21;-0.66;-154.24;0.07999999999999999;0.21000000000000002;0.7400000000000091
1384;3.8;-6.17;-150.82;3.72;-5.22;-156.71;0.07999999999999963;0.9500000000000002;5.890000000000015
1385;1.25;-3.6;-150.71;1.65;-3.38;-154.81;0.3999999999999999;0.2200000000000002;4.099999999999994
1386;3.85;1.52;-149.25;3.41;0.18;-153.65;0.43999999999999995;1.34;4.400000000000006
1387;-0.27;-4.08;-154.11;0.06;-3.44;-155.1;0.33;0.6400000000000001;0.9899999999999807
1388;-2.15;0.74;-152.7;-1.7;0.44;-151.69;0.44999999999999996;0.3;1.009999999999991
1389;1.56;-0.1;-153.84;0.87;-0.7;-154.0;0.6900000000000001;0.6;0.1599999999999966
1390;-0.77;-4.0;-152.73;-0.5;-3.39;-153.81;0.27;0.6099999999999999;1.0800000000000125
1391;-2.33;-2.17;-152.97;-1.79;-1.53;-152.16;0.54;0.6399999999999999;0.8100000000000023
1392;-0.62;0.54;-149.42;-0.43;0.44;-149.6;0.19;0.10000000000000003;0.18000000000000682
1393;-0.28;-1.44;-153.39;-0.14;-0.6;-152.47;0.14;0.84;0.9199999999999875
1394;-0.66;-4.59;-148.08;-0.12;-3.45;-150.48;0.54;1.1399999999999997;2.3999999999999773
1395;2.53;3.98;-154.44;1.65;3.03;-153.61;0.8799999999999999;0.9500000000000002;0.8299999999999841
1396;2.69;-4.67;-149.2;3.2;-2.86;-153.73;0.5100000000000002;1.81;4.530000000000001
1397;-0.71;-0.64;-152.32;-0.07;-0.04;-152.42;0.6399999999999999;0.6;0.09999999999999432
1398;3.41;-2.11;-147.67;3.28;-1.82;-152.27;0.13000000000000034;0.2899999999999998;4.600000000000023
1399;0.13;-2.66;-151.3;0.36;-2.42;-152.69;0.22999999999999998;0.2400000000000002;1.3899999999999864
